
           Name                        Version                Type   
───────────────────────────────────────────────────────────────────────
  acl                     2.3.1-3                            deb     
  adduser                 3.134                              deb     
  apt                     2.6.1                              deb     
  asn1-ber                1.5.7                              golang  
  attr                    1:2.5.1-4                          deb     
  audit                   1:3.0.9-1                          deb     
  base-files              12.4+deb12u11                      deb     
  base-passwd             3.6.1                              deb     
  bash                    5.2.15-2+b8                        deb     
  bsdutils                1:2.38.1-5+deb12u3                 deb     
  bzip2                   1.0.8-5                            deb     
  cdebconf                0.270                              deb     
  compress                1.18.0                             golang  
  coreutils               9.1-1                              deb     
  crypto                  0.36.0                             golang  
  dash                    0.5.12-2                           deb     
  db5.3                   5.3.28+dfsg2-1                     deb     
  debconf                 1.5.82                             deb     
  debian-archive-keyring  2023.3+deb12u2                     deb     
  debianutils             5.7-0.5~deb12u1                    deb     
  diffutils               1:3.8-4                            deb     
  dpkg                    1.21.22                            deb     
  e2fsprogs               1.47.0-2                           deb     
  errors                  0.9.1                              golang  
  etree                   1.5.0                              golang  
  findutils               4.9.0-4                            deb     
  fs                      0.1.0                              golang  
  gcc-12                  12.2.0-14+deb12u1                  deb     
  gcc-12-base             12.2.0-14+deb12u1                  deb     
  gin                     1.10.0                             golang  
  glibc                   2.36-9+deb12u10                    deb     
  gmp                     2:6.2.1+dfsg1-1.1                  deb     
  gnupg2                  2.2.40-1.1                         deb     
  gnutls28                3.7.9-2+deb12u4                    deb     
  go                      1.2.12                             golang  
  go-isatty               0.0.20                             golang  
  go-ntlmssp              0.0.0-20221128193559-754e69321358  golang  
  go-toml                 2.2.3                              golang  
  go-urn                  1.4.0                              golang  
  gowebdav                0.10.0                             golang  
  gpgv                    2.2.40-1.1                         deb     
  grep                    3.8-5                              deb     
  gzip                    1.12-1                             deb     
  hostname                3.23+nmu1                          deb     
  icu                     72.1-3+deb12u1                     deb     
  init-system-helpers     1.65.2                             deb     
  jwt                     5.2.2                              golang  
  ldap                    3.4.10                             golang  
  libacl1                 2.3.1-3                            deb     
  libapt-pkg6.0           2.6.1                              deb     
  libattr1                1:2.5.1-4                          deb     
  libaudit-common         1:3.0.9-1                          deb     
  libaudit1               1:3.0.9-1                          deb     
  libblkid1               2.38.1-5+deb12u3                   deb     
  libbz2-1.0              1.0.8-5+b1                         deb     
  libc-bin                2.36-9+deb12u10                    deb     
  libc6                   2.36-9+deb12u10                    deb     
  libcap-ng               0.8.3-1                            deb     
  libcap-ng0              0.8.3-1+b3                         deb     
  libcap2                 1:2.66-4+deb12u1                   deb     
  libcom-err2             1.47.0-2                           deb     
  libcrypt1               1:4.4.33-2                         deb     
  libdb5.3                5.3.28+dfsg2-1                     deb     
  libdebconfclient0       0.270                              deb     
  libext2fs2              1.47.0-2                           deb     
  libffi                  3.4.4-1                            deb     
  libffi8                 3.4.4-1                            deb     
  libgcc-s1               12.2.0-14+deb12u1                  deb     
  libgcrypt20             1.10.1-3                           deb     
  libgmp10                2:6.2.1+dfsg1-1.1                  deb     
  libgnutls30             3.7.9-2+deb12u4                    deb     
  libgpg-error            1.46-1                             deb     
  libgpg-error0           1.46-1                             deb     
  libhogweed6             3.8.1-2                            deb     
  libicu72                72.1-3+deb12u1                     deb     
  libidn2                 2.3.3-1                            deb     
  libidn2-0               2.3.3-1+b1                         deb     
  liblz4-1                1.9.4-1                            deb     
  liblzma5                5.4.1-1                            deb     
