
            Name                 Version        Type   
─────────────────────────────────────────────────────────
  adler2                    2.0.0              cargo   
  ahash                     0.8.11             cargo   
  aho-corasick              1.1.3              cargo   
  alpine-base               3.21.3-r0          apk     
  alpine-baselayout         3.6.8-r1           apk     
  alpine-baselayout-data    3.6.8-r1           apk     
  alpine-keys               2.5-r0             apk     
  alpine-release            3.21.3-r0          apk     
  anstream                  0.6.15             cargo   
  anstyle                   1.0.8              cargo   
  anstyle-parse             0.2.5              cargo   
  anstyle-query             1.1.1              cargo   
  apk-tools                 2.14.6-r3          apk     
  approx                    0.5.1              cargo   
  arrayref                  0.3.9              cargo   
  arrayvec                  0.7.6              cargo   
  az                        1.2.1              cargo   
  base64                    0.22.1             cargo   
  biblatex                  0.10.0             cargo   
  bincode                   1.3.3              cargo   
  bit-set                   0.5.3              cargo   
  bit-vec                   0.6.3              cargo   
  bitflags                  2.6.0              cargo   
  bitflags                  1.3.2              cargo   
  brotli                    1.1.0-r2           apk     
  brotli-libs               1.1.0-r2           apk     
  bumpalo                   3.16.0             cargo   
  busybox                   1.37.0-r12         apk     
  busybox-binsh             1.37.0-r12         apk     
  by_address                1.2.1              cargo   
  bytemuck                  1.18.0             cargo   
  byteorder                 1.5.0              cargo   
  byteorder-lite            0.1.0              cargo   
  bzip2                     1.0.8-r6           apk     
  ca-certificates           20241121-r1        apk     
  ca-certificates-bundle    20241121-r1        apk     
  cfg-if                    1.0.0              cargo   
  chinese-number            0.7.7              cargo   
  chinese-variant           1.1.3              cargo   
  chrono                    0.4.38             cargo   
  ciborium                  0.2.2              cargo   
  ciborium-io               0.2.2              cargo   
  ciborium-ll               0.2.2              cargo   
  citationberg              0.4.0              cargo   
  clap                      4.5.19             cargo   
  clap_builder              4.5.19             cargo   
  clap_derive               4.5.18             cargo   
  clap_lex                  0.7.2              cargo   
  cobs                      0.2.3              cargo   
  codespan-reporting        0.11.1             cargo   
  color-print               0.3.6              cargo   
  color-print-proc-macro    0.3.6              cargo   
  color_quant               1.1.0              cargo   
  colorchoice               1.0.2              cargo   
  comemo                    0.4.0              cargo   
  comemo-macros             0.4.0              cargo   
  core_maths                0.1.0              cargo   
  crc32fast                 1.4.2              cargo   
  crossbeam-channel         0.5.13             cargo   
  crossbeam-deque           0.8.5              cargo   
  crossbeam-epoch           0.9.18             cargo   
  crossbeam-utils           0.8.20             cargo   
  crypto                    0.36.0             golang  
  csv                       1.3.0              cargo   
  csv-core                  0.1.11             cargo   
  data-url                  0.3.1              cargo   
  deranged                  0.3.11             cargo   
  dirs                      5.0.1              cargo   
  dirs-sys                  0.4.1              cargo   
  displaydoc                0.2.5              cargo   
  downcast-rs               1.2.1              cargo   
  ecow                      0.2.2              cargo   
  either                    1.13.0             cargo   
  embedded-io               0.6.1              cargo   
  embedded-io               0.4.0              cargo   
  enum-ordinalize           4.3.0              cargo   
  enum-ordinalize-derive    4.3.1              cargo   
  env_proxy                 0.4.1              cargo   
  equivalent                1.0.1              cargo   
  errno                     0.3.9              cargo   
  expat                     2.7.0-r0           apk     
  fancy-regex               0.11.0             cargo   
  fast-srgb8                1.0.0              cargo   
  fastrand                  2.1.1              cargo   
  fdeflate                  0.3.5              cargo   
  filetime                  0.2.25             cargo   
  flate2                    1.0.34             cargo   
  float-cmp                 0.9.0              cargo   
  fnv                       1.0.7              cargo   
  font-noto                 24.7.1-r0          apk     
  font-noto-common          24.7.1-r0          apk     
  font-noto-math            24.7.1-r0          apk     
  font-noto-symbols         24.7.1-r0          apk     
  fontconfig                2.15.0-r1          apk     
  fontconfig-parser         0.5.7              cargo   
  fontdb                    0.21.0             cargo   
  foreign-types             0.3.2              cargo   
  foreign-types-shared      0.1.1              cargo   
  form_urlencoded           1.2.1              cargo   
  freetype                  2.13.3-r0          apk     
  fs_extra                  1.3.0              cargo   
  gcc                       14.2.0-r4          apk     
  gif                       0.13.1             cargo   
  gin                       1.10.0             golang  
  go                        1.2.12             golang  
  go-isatty                 0.0.20             golang  
  go-toml                   2.2.3              golang  
  go-urn                    1.4.0              golang  
  half                      2.4.1              cargo   
  hashbrown                 0.15.0             cargo   
  hashbrown                 0.14.5             cargo   
  hayagriva                 0.8.0              cargo   
  heck                      0.5.0              cargo   
  hypher                    0.1.5              cargo   
  iana-time-zone            0.1.61             cargo   
  icu_collections           1.5.0              cargo   
  icu_locid                 1.5.0              cargo   
  icu_locid_transform       1.5.0              cargo   
  icu_locid_transform_data  1.5.0              cargo   
  icu_properties            1.5.1              cargo   
  icu_properties_data       1.5.0              cargo   
  icu_provider              1.5.0              cargo   
  icu_provider_adapters     1.5.0              cargo   
  icu_provider_blob         1.5.0              cargo   
  icu_provider_macros       1.5.0              cargo   
  icu_segmenter             1.5.0              cargo   
  icu_segmenter_data        1.5.0              cargo   
  idna                      0.5.0              cargo   
  if_chain                  1.0.2              cargo   
  image                     0.25.2             cargo   
  image-webp                0.1.3              cargo   
  imagesize                 0.13.0             cargo   
  indexmap                  2.6.0              cargo   
  indexmap-nostd            0.4.0              cargo   
  inotify                   0.9.6              cargo   
  inotify-sys               0.1.5              cargo   
  is-docker                 0.2.0              cargo   
  is-wsl                    0.4.0              cargo   
  is_terminal_polyfill      1.70.1             cargo   
  itoa                      1.0.11             cargo   
  kamadak-exif              0.5.5              cargo   
  kurbo                     0.11.1             cargo   
  libbz2                    1.0.8-r6           apk     
  libc                      0.2.159            cargo   
  libcrypto3                3.3.3-r0           apk     
  libexpat                  2.7.0-r0           apk     
  libgcc                    14.2.0-r4          apk     
  libm                      0.2.8              cargo   
  libpng                    1.6.47-r0          apk     
  libssl3                   3.3.3-r0           apk     
  linked-hash-map           0.5.6              cargo   
  linux-raw-sys             0.4.14             cargo   
  lipsum                    0.9.1              cargo   
  litemap                   0.7.3              cargo   
  locales                   0.14.1             golang  
  lock_api                  0.4.12             cargo   
  log                       0.4.22             cargo   
  memchr                    2.7.4              cargo   
  memmap2                   0.9.5              cargo   
  mimetype                  1.4.8              golang  
  minimal-lexical           0.2.1              cargo   
  miniz_oxide               0.8.0              cargo   
  mio                       0.8.11             cargo   
  multi-stash               0.2.0              cargo   
  musl                      1.2.5-r9           apk     
  musl-utils                1.2.5-r9           apk     
  mutate_once               0.1.1              cargo   
  native-tls                0.2.12             cargo   
  net                       0.37.0             golang  
  nom                       7.1.3              cargo   
  notify                    6.1.1              cargo   
  num-bigint                0.4.6              cargo   
  num-conv                  0.1.0              cargo   
  num-derive                0.4.2              cargo   
  num-integer               0.1.46             cargo   
  num-traits                0.2.19             cargo   
  numerals                  0.1.4              cargo   
  once_cell                 1.20.1             cargo   
  open                      5.3.0              cargo   
  openssl                   0.10.66            cargo   
  openssl                   3.3.3-r0           apk     
  openssl-macros            0.1.1              cargo   
  openssl-probe             0.1.5              cargo   
  openssl-sys               0.9.103            cargo   
  option-ext                0.2.0              cargo   
  palette                   0.7.6              cargo   
  palette_derive            0.7.6              cargo   
  parking_lot               0.12.3             cargo   
  parking_lot_core          0.9.10             cargo   
  paste                     1.0.15             cargo   
  pathdiff                  0.2.1              cargo   
  pax-utils                 1.3.8-r1           apk     
  pdf-writer                0.12.0             cargo   
  percent-encoding          2.3.1              cargo   
  phf                       0.11.2             cargo   
  phf_generator             0.11.2             cargo   
  phf_macros                0.11.2             cargo   
  phf_shared                0.11.2             cargo   
